,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
93, San_Jose_St,0.2727272727272727, Duke,0.40220385674931114, Nevada,0.44150340018108614, Syracuse,0.4558185481787962, Syracuse,0.4621660103854191, Syracuse,0.46454734330799924, Syracuse,0.4654077995320059, Syracuse,0.46570931171576807, Syracuse,0.4658126907257826, Syracuse,0.46584751868788615
94, ULM,0.2727272727272727, Missouri,0.4015151515151514, Syracuse,0.4394818335934041, Nevada,0.44879636110997745, Nevada,0.451212648133575, Nevada,0.4519875842838167, Nevada,0.45223700517967835, Nevada,0.4523180814144401, Nevada,0.4523446095884366, Nevada,0.452353316611128
95, Tulane,0.2727272727272727, Syracuse,0.3976478067387158, Florida_Intl,0.43181818181818177, Oregon,0.43928311479549054, Oregon,0.4444114023041049, Oregon,0.44618392306777876, Oregon,0.44678270803061604, Oregon,0.44698423848556523, Oregon,0.44705172047072445, Oregon,0.4470742152209283
96, Charlotte,0.2727272727272727, Oregon,0.38292011019283745, Oregon,0.4244687819067986, Florida_Intl,0.4385550982916692, Florida_Intl,0.440650514325405, Florida_Intl,0.4413218261264093, Florida_Intl,0.44154228655402683, Florida_Intl,0.4416153348300037, Florida_Intl,0.4416396388371075, Florida_Intl,0.44164771869931485
97, Cincinnati,0.2727272727272727, UNLV,0.36363636363636365, UNLV,0.4004352291065576, UNLV,0.41204134146453886, UNLV,0.4158999406615064, UNLV,0.41715188878084275, UNLV,0.4175571753921238, UNLV,0.4176883314877379, UNLV,0.41773085945208166, UNLV,0.4177447164613328
98, Iowa_St,0.2727272727272727, UTEP,0.36363636363636365, UTEP,0.3933654729109276, UTEP,0.403282901862448, UTEP,0.40644760442853667, UTEP,0.4074542488013586, UTEP,0.4077823868832043, UTEP,0.4078904948427992, UTEP,0.4079261377231939, UTEP,0.4079378688989767
99, UNLV,0.2727272727272727, Oregon_St,0.3519283746556473, New_Mexico_St,0.3849189005439004, New_Mexico_St,0.39725274974582964, New_Mexico_St,0.4011701797634641, New_Mexico_St,0.40243171552255025, New_Mexico_St,0.40284124905624474, New_Mexico_St,0.402974060663752, New_Mexico_St,0.40301723420160246, New_Mexico_St,0.40303128502361674
100, Duke,0.2727272727272727, Cincinnati,0.35123966942148765, Oregon_St,0.3831091429231924, Oregon_St,0.3944653209890822, Oregon_St,0.3982857073851015, Oregon_St,0.3995945809141216, Oregon_St,0.4000401511850275, Oregon_St,0.40018956871241895, Oregon_St,0.40023938385979985, Oregon_St,0.4002559667873317
101, Missouri,0.2727272727272727, Charlotte,0.35123966942148754, Charlotte,0.3756184701432636, Charlotte,0.3832521048953897, Charlotte,0.3856683847124704, Charlotte,0.38649101662053714, Charlotte,0.38676887951463856, Charlotte,0.3868613756703705, Charlotte,0.3868921448741467, Charlotte,0.38690231318417534
102, Syracuse,0.2727272727272727, New_Mexico_St,0.3478535353535352, Cincinnati,0.37460034226563155, Cincinnati,0.3820112474413753, Cincinnati,0.38462885866855046, Cincinnati,0.38554392517962005, Cincinnati,0.38585356262980686, Cincinnati,0.38595737543231445, Cincinnati,0.3859920370311522, Cincinnati,0.3860035265278087
